date,negative,neutral,positive
2011-07-14,43,369,146
2011-07-15,94,412,82
2011-07-16,0,13,1
2011-07-17,5,54,71
2011-07-18,63,462,113
2011-07-19,48,543,156
2011-07-20,52,551,171
2011-07-21,71,651,179
2011-07-22,62,474,131
2011-07-23,0,9,3
2011-07-24,0,61,16
2011-07-25,113,558,118
2011-07-26,54,592,158
2011-07-27,52,639,151
2011-07-28,66,800,178
2011-07-29,41,469,127
2011-07-30,0,6,0
2011-07-31,1,50,56
2011-08-01,33,596,126
2011-08-02,34,565,135
2011-08-03,32,621,195
2011-08-04,33,586,93
2011-08-05,51,464,77
2011-08-06,0,1,18
2011-08-07,0,33,2
2011-08-08,26,510,108
2011-08-09,25,525,92
2011-08-10,38,455,74
2011-08-11,24,428,86
2011-08-12,8,319,70
2011-08-13,0,2,9
2011-08-14,0,41,0
2011-08-15,19,493,99
2011-08-16,29,357,92
2011-08-17,23,378,96
2011-08-18,24,439,106
2011-08-19,42,297,99
2011-08-20,0,15,3
2011-08-21,0,25,1
2011-08-22,30,371,112
2011-08-23,19,363,129
2011-08-24,20,385,98
2011-08-25,36,327,95
2011-08-26,23,214,66
2011-08-27,0,5,1
2011-08-28,0,15,2
2011-08-29,29,230,91
2011-08-30,19,311,130
2011-08-31,20,296,119
2011-09-01,20,336,91
2011-09-02,19,192,63
2011-09-03,0,1,0
2011-09-04,0,22,0
2011-09-05,0,14,2
2011-09-06,20,327,99
2011-09-07,13,418,98
2011-09-08,22,350,99
2011-09-09,36,202,81
2011-09-10,0,5,2
2011-09-11,1,27,0
2011-09-12,35,255,86
2011-09-13,22,310,88
2011-09-14,13,253,74
2011-09-15,37,269,82
2011-09-16,18,228,59
2011-09-17,0,9,4
2011-09-18,0,25,7
2011-09-19,23,305,71
2011-09-20,28,331,115
2011-09-21,34,320,91
2011-09-22,35,274,61
2011-09-23,21,230,49
2011-09-24,0,1,0
2011-09-25,0,26,2
2011-09-26,24,310,123
2011-09-27,15,331,79
2011-09-28,22,297,74
2011-09-29,25,239,58
2011-09-30,13,199,53
2011-10-01,0,9,0
2011-10-02,0,34,0
2011-10-03,21,299,98
2011-10-04,20,299,26
2011-10-05,26,316,80
2011-10-06,30,318,76
2011-10-07,22,255,53
2011-10-08,0,10,0
2011-10-09,0,24,0
2011-10-10,26,265,60
2011-10-11,21,356,76
2011-10-12,42,346,89
2011-10-13,41,329,92
2011-10-14,20,336,80
2011-10-15,0,1,0
2011-10-16,0,39,3
2011-10-17,34,438,96
2011-10-18,30,403,113
2011-10-19,24,378,117
2011-10-20,17,366,108
2011-10-21,16,388,96
2011-10-23,0,49,0
2011-10-24,25,433,124
2011-10-25,19,482,142
2011-10-26,20,491,103
2011-10-27,24,632,129
2011-10-28,19,409,83
2011-10-30,0,51,1
2011-10-31,20,479,117
2011-11-01,22,541,80
2011-11-02,14,470,89
2011-11-03,28,533,118
2011-11-04,22,367,79
2011-11-05,0,32,5
2011-11-06,0,10,7
2011-11-07,28,448,101
2011-11-08,21,418,100
2011-11-09,47,438,69
2011-11-10,36,355,99
2011-11-11,28,296,83
2011-11-12,0,7,3
2011-11-13,0,52,1
2011-11-14,37,452,104
2011-11-15,34,425,106
2011-11-16,25,394,82
2011-11-17,23,432,105
2011-11-18,42,268,66
2011-11-19,2,10,0
2011-11-20,1,25,4
2011-11-21,45,397,96
2011-11-22,30,371,101
2011-11-23,43,351,86
2011-11-24,0,17,3
2011-11-25,17,137,40
2011-11-27,0,29,0
2011-11-28,55,317,86
2011-11-29,29,372,59
2011-11-30,26,347,110
2011-12-01,44,391,131
2011-12-02,18,298,90
2011-12-03,0,12,4
2011-12-04,0,22,7
2011-12-05,35,294,92
2011-12-06,30,334,115
2011-12-07,20,341,96
2011-12-08,26,291,80
2011-12-09,19,278,62
2011-12-10,0,12,4
2011-12-11,0,28,21
2011-12-12,44,373,134
2011-12-13,32,370,129
2011-12-14,22,378,125
2011-12-15,35,435,112
2011-12-16,35,322,79
2011-12-17,0,2,0
2011-12-18,1,22,24
2011-12-19,27,371,130
2011-12-20,32,407,109
2011-12-21,19,300,99
2011-12-22,28,274,132
2011-12-23,13,157,61
2011-12-24,0,4,0
2011-12-26,1,7,1
2011-12-27,24,232,128
2011-12-28,30,177,147
2011-12-29,20,142,115
2011-12-30,3,114,77
2011-12-31,0,0,17
2012-01-01,0,2,3
2012-01-02,0,35,37
2012-01-03,34,364,130
2012-01-04,25,356,102
2012-01-05,32,392,91
2012-01-06,9,244,105
2012-01-07,2,9,0
2012-01-08,0,27,0
2012-01-09,30,374,141
2012-01-10,33,375,110
2012-01-11,19,352,84
2012-01-12,36,372,105
2012-01-13,18,254,99
2012-01-15,0,34,0
2012-01-16,0,21,31
2012-01-17,34,428,158
2012-01-18,37,376,130
2012-01-19,26,376,121
2012-01-20,31,305,75
2012-01-22,0,67,0
2012-01-23,29,388,123
2012-01-24,33,432,109
2012-01-25,24,460,142
2012-01-26,32,447,108
2012-01-27,17,283,62
2012-01-28,0,16,0
2012-01-29,15,46,0
2012-01-30,27,343,166
2012-01-31,30,443,103
2012-02-01,37,412,133
2012-02-02,28,472,126
2012-02-03,24,282,141
2012-02-04,0,5,1
2012-02-05,0,77,3
2012-02-06,29,456,122
2012-02-07,45,503,115
2012-02-08,27,468,154
2012-02-09,42,485,122
2012-02-10,19,362,83
2012-02-11,5,9,4
2012-02-12,0,44,44
2012-02-13,27,406,138
2012-02-14,28,386,152
2012-02-15,22,472,112
2012-02-16,33,443,118
2012-02-17,28,332,65
2012-02-18,0,9,0
2012-02-19,0,18,33
2012-02-20,10,55,38
2012-02-21,40,399,101
2012-02-22,34,487,113
2012-02-23,22,458,103
2012-02-24,21,277,72
2012-02-26,6,31,27
2012-02-27,44,494,107
2012-02-28,29,471,133
2012-02-29,31,328,76
2012-03-01,36,358,133
2012-03-02,18,228,49
2012-03-03,0,12,0
2012-03-04,1,53,23
2012-03-05,21,377,94
2012-03-06,21,377,102
2012-03-07,25,400,108
2012-03-08,43,377,65
2012-03-09,23,276,76
2012-03-11,1,57,20
2012-03-12,27,381,106
2012-03-13,30,357,126
2012-03-14,16,293,79
2012-03-15,31,351,88
2012-03-16,34,244,73
2012-03-17,0,6,0
2012-03-18,0,26,0
2012-03-19,47,321,101
2012-03-20,43,403,124
2012-03-21,20,395,99
2012-03-22,39,386,106
2012-03-23,24,255,85
2012-03-24,0,1,1
2012-03-25,1,27,6
2012-03-26,27,407,94
2012-03-27,32,353,110
2012-03-28,16,318,75
2012-03-29,18,398,93
2012-03-30,26,265,81
2012-03-31,0,2,0
2012-04-01,4,30,0
2012-04-02,37,481,114
2012-04-03,48,407,82
2012-04-04,23,349,72
2012-04-05,26,315,79
2012-04-06,19,23,8
2012-04-08,0,17,7
2012-04-09,18,336,67
2012-04-10,37,354,79
2012-04-11,30,338,56
2012-04-12,30,337,82
2012-04-13,17,209,56
2012-04-14,0,5,1
2012-04-15,0,53,1
2012-04-16,32,368,74
2012-04-17,27,494,100
2012-04-18,27,344,85
2012-04-19,26,518,95
2012-04-20,14,326,58
2012-04-21,0,3,2
2012-04-22,0,30,0
2012-04-23,13,487,90
2012-04-24,48,529,72
2012-04-25,16,575,100
2012-04-26,24,650,65
2012-04-27,16,360,63
2012-04-28,0,7,0
2012-04-29,0,61,6
2012-04-30,34,486,102
2012-05-01,21,518,96
2012-05-02,66,617,96
2012-05-03,43,562,82
2012-05-04,31,378,62
2012-05-05,0,7,0
2012-05-06,1,45,1
2012-05-07,31,488,103
2012-05-08,39,494,70
2012-05-09,28,440,70
2012-05-10,45,400,95
2012-05-11,48,287,50
2012-05-13,0,49,0
2012-05-14,29,379,86
2012-05-15,19,452,142
2012-05-16,32,355,81
2012-05-17,20,378,91
2012-05-18,14,233,77
2012-05-19,0,4,0
2012-05-20,1,45,0
2012-05-21,36,305,85
2012-05-22,24,351,80
2012-05-23,34,291,65
2012-05-24,15,335,79
2012-05-25,14,210,55
2012-05-26,0,2,0
2012-05-27,0,0,17
2012-05-28,0,32,0
2012-05-29,17,331,70
2012-05-30,22,344,104
2012-05-31,21,311,111
2012-06-01,38,263,65
2012-06-02,0,9,7
2012-06-03,0,47,0
2012-06-04,23,346,99
2012-06-05,37,337,76
2012-06-06,32,299,115
2012-06-07,21,377,63
2012-06-08,20,312,86
2012-06-09,0,22,1
2012-06-10,0,28,0
2012-06-11,46,349,119
2012-06-12,27,314,74
2012-06-13,16,322,60
